brewery_id,sku_id,available_inv
BWY002,SKU008,0.0
BWY002,SKU009,0.0
BWY002,SKU010,0.0
BWY002,SKU011,5175.0
BWY002,SKU012,0.0
BWY002,SKU013,10258.0
BWY002,SKU014,3313.0
BWY002,SKU015,211.0
BWY002,SKU016,381.0
BWY002,SKU017,0.0
BWY002,SKU018,0.0
BWY002,SKU019,0.0
BWY002,SKU020,34344.0
BWY002,SKU021,0.0
BWY002,SKU022,0.0
BWY002,SKU023,0.0
BWY002,SKU024,0.0
BWY002,SKU025,0.0
BWY002,SKU026,0.0
BWY002,SKU027,0.0
BWY002,SKU028,0.0
BWY002,SKU029,0.0
BWY002,SKU030,0.0
BWY002,SKU031,29.0
BWY002,SKU032,415.0
BWY002,SKU033,882.0
BWY002,SKU034,0.0
BWY002,SKU035,0.0
BWY002,SKU036,0.0
BWY002,SKU037,0.0
BWY002,SKU038,72609.0754716981
BWY002,SKU039,0.0
BWY002,SKU040,0.0
BWY002,SKU041,0.0
BWY002,SKU042,0.0
BWY002,SKU043,0.0
BWY002,SKU044,76871.0
BWY002,SKU045,0.0
BWY002,SKU046,0.0
BWY002,SKU047,0.0
BWY002,SKU048,0.0
BWY002,SKU049,0.0
BWY002,SKU050,0.0
BWY002,SKU051,0.0
BWY002,SKU052,0.0
BWY002,SKU053,0.0
BWY002,SKU054,16335.0
BWY002,SKU055,8323.0
BWY002,SKU056,0.0
BWY002,SKU057,0.0
BWY002,SKU058,1089.0
BWY002,SKU059,0.0
BWY002,SKU060,7.0
BWY002,SKU061,1160.0
BWY002,SKU062,0.0
BWY002,SKU063,66839.0
BWY002,SKU064,0.0
BWY002,SKU065,0.0
BWY002,SKU066,0.0
BWY002,SKU067,0.0
BWY002,SKU068,0.0
BWY002,SKU069,542.0
BWY002,SKU070,629.0
BWY002,SKU071,0.0
BWY002,SKU072,0.0
BWY002,SKU073,0.0
BWY002,SKU074,0.0
BWY002,SKU075,0.0
BWY002,SKU076,0.0
BWY002,SKU077,5500.0
BWY002,SKU078,0.0
BWY002,SKU079,884.0
BWY002,SKU080,3194.0
BWY002,SKU081,0.0
BWY002,SKU082,474.0
BWY002,SKU083,0.0
BWY002,SKU084,0.0
BWY002,SKU085,18.0
BWY002,SKU086,0.0
BWY002,SKU087,924.0
BWY002,SKU088,0.0
BWY002,SKU089,16089.0
BWY002,SKU090,1.0
BWY002,SKU091,0.0
BWY002,SKU092,0.0
BWY002,SKU093,0.0
BWY002,SKU094,0.0
BWY002,SKU095,355.0
BWY002,SKU096,720.0
BWY002,SKU097,11478.0
BWY002,SKU098,4012.0
BWY002,SKU099,0.0
BWY002,SKU100,0.0
BWY002,SKU101,0.0
BWY002,SKU102,0.0
BWY002,SKU103,0.0
BWY002,SKU104,8451.0
