dc_id,sku_id,mean_sale
DC004,SKU048,10.0
DC004,SKU049,64.5
DC004,SKU050,0.0
DC004,SKU051,19.25
DC004,SKU052,0.0
DC004,SKU053,43.0
DC004,SKU054,82.25
DC004,SKU055,0.0
DC004,SKU056,0.0
DC004,SKU057,0.0
DC004,SKU058,21.75
DC004,SKU059,0.0
DC004,SKU060,0.0
DC004,SKU061,0.0
DC004,SKU062,109.5
DC004,SKU063,2593.0
DC004,SKU064,1871.0
DC004,SKU065,108.5
DC004,SKU066,14.25
DC004,SKU067,0.0
DC004,SKU068,17.0
DC004,SKU069,0.0
DC004,SKU070,6.0
DC004,SKU071,5.75
DC004,SKU072,39.75
DC004,SKU073,6.0
DC004,SKU074,52.0
DC004,SKU075,0.0
DC004,SKU076,27.75
DC004,SKU077,0.0
DC004,SKU078,0.75
DC004,SKU079,117.5
DC004,SKU080,0.0
DC004,SKU081,0.0
DC004,SKU082,0.0
DC004,SKU083,535.25
DC004,SKU084,0.0
DC004,SKU085,13.0
DC004,SKU086,0.0
DC004,SKU087,0.0
DC004,SKU088,0.0
DC004,SKU089,0.0
DC004,SKU090,0.0
DC004,SKU091,8.0
DC004,SKU092,26.0
DC004,SKU093,0.0
DC004,SKU094,0.0
DC004,SKU095,0.0
DC004,SKU096,0.0
DC004,SKU097,12.5
DC004,SKU098,2.25
DC004,SKU099,88.5
DC004,SKU100,158.75
DC004,SKU101,0.0
DC004,SKU102,0.0
DC004,SKU103,0.0
DC004,SKU104,0.0
DC005,SKU001,0.0
DC005,SKU002,0.0
DC005,SKU003,0.0
DC005,SKU004,0.0
DC005,SKU005,0.0
DC005,SKU006,0.0
DC005,SKU007,2.0
DC005,SKU008,298.5
DC005,SKU009,0.0
DC005,SKU010,74.5
DC005,SKU011,0.0
DC005,SKU012,96.5
DC005,SKU013,40.5
DC005,SKU014,0.0
DC005,SKU015,0.0
DC005,SKU016,0.0
DC005,SKU017,0.0
DC005,SKU018,0.0
DC005,SKU019,32.75
DC005,SKU020,12.0
DC005,SKU021,42.5
DC005,SKU022,0.0
DC005,SKU023,0.0
DC005,SKU024,0.0
DC005,SKU025,0.0
DC005,SKU026,0.0
DC005,SKU027,2.0
DC005,SKU028,0.0
DC005,SKU029,26.25
DC005,SKU030,240.5
DC005,SKU031,0.0
DC005,SKU032,0.0
DC005,SKU033,111.25
DC005,SKU034,0.0
DC005,SKU035,49.5
DC005,SKU036,561.25
DC005,SKU037,1268.75
DC005,SKU038,3888.5
DC005,SKU039,11.25
DC005,SKU040,962.75
DC005,SKU041,46.75
DC005,SKU042,0.0
DC005,SKU043,0.0
DC005,SKU044,1936.25
DC005,SKU045,0.5
DC005,SKU046,5.5
DC005,SKU047,146.5
DC005,SKU048,0.0
DC005,SKU049,124.5
DC005,SKU050,0.0
DC005,SKU051,39.5
DC005,SKU052,0.0
DC005,SKU053,22.0
