dc_id,sku_id,target_doi
DC002,SKU033,15.398742641195142
DC002,SKU034,3.0
DC002,SKU035,11.983178689280209
DC002,SKU036,5.154012229035763
DC002,SKU037,3.422146988339464
DC002,SKU038,3.207062037937177
DC002,SKU039,4.778598461050274
DC002,SKU040,3.0820318453227875
DC002,SKU041,4.198076384387762
DC002,SKU042,3.0
DC002,SKU043,3.0
DC002,SKU044,3.9771411594875454
DC002,SKU045,5.755047269027797
DC002,SKU046,20.700434136102807
DC002,SKU047,3.960186887917255
DC002,SKU048,3.0
DC002,SKU049,5.029990444711656
DC002,SKU050,3.0
DC002,SKU051,14.06144866138989
DC002,SKU052,3.0
DC002,SKU053,4.741948363274122
DC002,SKU054,7.903651373676473
DC002,SKU055,3.0
DC002,SKU056,3.0
DC002,SKU057,3.0
DC002,SKU058,3.73736786599408
DC002,SKU059,3.0
DC002,SKU060,25.92742357742992
DC002,SKU061,3.0
DC002,SKU062,3.478476734910245
DC002,SKU063,3.3102479957604096
DC002,SKU064,3.071819757033241
DC002,SKU065,3.174827877748488
DC002,SKU066,4.762475849778563
DC002,SKU067,2.5117695745429858
DC002,SKU068,8.032386657294094
DC002,SKU069,3.0
DC002,SKU070,14.861489737460252
DC002,SKU071,3.0
DC002,SKU072,4.921149929961961
DC002,SKU073,2.9033753346364586
DC002,SKU074,4.856761918346192
DC002,SKU075,6.870236894605303
DC002,SKU076,7.814192007473386
DC002,SKU077,3.0
DC002,SKU078,16.478685983194065
DC002,SKU079,3.3334468360153733
DC002,SKU080,3.0
DC002,SKU081,3.0
DC002,SKU082,3.0
DC002,SKU083,3.103325093808093
DC002,SKU084,3.211923758569081
DC002,SKU085,4.973811976282281
DC002,SKU086,3.0
DC002,SKU087,3.0
DC002,SKU088,3.0
DC002,SKU089,3.0
DC002,SKU090,3.0
DC002,SKU091,3.0
DC002,SKU092,3.0
DC002,SKU093,3.0
DC002,SKU094,3.0
DC002,SKU095,3.0
DC002,SKU096,3.0
DC002,SKU097,7.220455539955541
DC002,SKU098,4.561951254941537
DC002,SKU099,3.834037392068359
DC002,SKU100,5.5841200589620925
DC002,SKU101,4.660817802265913
DC002,SKU102,6.6181147164970975
DC002,SKU103,3.0
DC002,SKU104,3.0
DC003,SKU001,3.0
DC003,SKU002,3.0
DC003,SKU003,3.0
DC003,SKU004,3.0
DC003,SKU005,3.0
DC003,SKU006,3.0
DC003,SKU007,76.60724283269
DC003,SKU008,4.815107279404831
DC003,SKU009,3.0
DC003,SKU010,7.445856999283004
DC003,SKU011,3.0
DC003,SKU012,9.508969772016195
DC003,SKU013,5.820547054037489
DC003,SKU014,3.0
DC003,SKU015,3.0
DC003,SKU016,3.0
DC003,SKU017,3.0
DC003,SKU018,3.0
DC003,SKU019,8.136175178703912
DC003,SKU020,3.0
DC003,SKU021,15.672848918901067
DC003,SKU022,3.0
DC003,SKU023,3.0
DC003,SKU024,3.0
DC003,SKU025,3.0
DC003,SKU026,3.0
DC003,SKU027,4.122752264555789
DC003,SKU028,3.0
DC003,SKU029,3.0
DC003,SKU030,4.449858316640749
DC003,SKU031,3.0
DC003,SKU032,3.0
DC003,SKU033,27.90378906877948
DC003,SKU034,3.0
DC003,SKU035,6.343200711407165
DC003,SKU036,4.161368151921454
DC003,SKU037,4.781860019290474
DC003,SKU038,4.0060991623231335
DC003,SKU039,3.197612514687516
DC003,SKU040,3.518023074923358
DC003,SKU041,4.415313718160981
DC003,SKU042,3.0
DC003,SKU043,3.0
DC003,SKU044,3.33121717558699
DC003,SKU045,8.069437854720213
DC003,SKU046,2.928018928928421
DC003,SKU047,5.577834851597999
DC003,SKU048,3.0
DC003,SKU049,4.66321183673274
DC003,SKU050,3.0
DC003,SKU051,3.0
DC003,SKU052,3.0
DC003,SKU053,3.0
DC003,SKU054,11.635560416012604
DC003,SKU055,3.0
DC003,SKU056,3.0
DC003,SKU057,3.0
DC003,SKU058,3.560141236413655
DC003,SKU059,3.0
DC003,SKU060,7.969484568030556
DC003,SKU061,3.0
DC003,SKU062,4.0309520318515615
DC003,SKU063,4.479727918872764
DC003,SKU064,3.282757726300745
DC003,SKU065,4.536644794327227
DC003,SKU066,28.2677014337606
DC003,SKU067,3.0
DC003,SKU068,3.0
